word,frequency
Italy's Renzi Sees Comeback Threatened by Public Tenders Scandal,408
Hyperledger Nears Release of Its First Production-Ready Blockchain,408
Louisville Advances to Semis With 59-58 Win Over NC State,401
"After NC Child Drowns in Pond, Social Services Chief Resigns",400
Catholic Diocese in Minnesota Files for Bankruptcy Over Sex Abuse,396
Mexico: Journalist Shot Dead in Troubled Guerrero State,394
New Ulm Diocese in Southern Minnesota Files for Bankruptcy,391
Exclusive: Neiman Marcus Hires Debt Restructuring Adviser-Sources,391
Lawyer: Judge's Gag Order Too Broad in Missing Teacher Case,387
Montenegro Pro-Russian Leaders Seek Bannon Help Against NATO,377
Dying Author Pens Essay With Dating Profile of Husband,372
Wilson Leads No. 5 South Carolina Past Georgia 72-48,371
Austria's Greens and Far-Right Join Forces to Probe Eurofighter Deal,369
The Trump Presidency on March 3 at 2:50 P.m. ET,368
Deutsche Boerse's EEX Says Takes Over U.S. Peer Nodal,364
Jonas Kaufmann Withdraws From Met Opera’s ‘Tosca’,362
"Schwarzenegger, Citing ‘Baggage,’ Will Leave ‘Celebrity Apprentice’",358
Ethiopian Opposition Leader Pleads Not Guilty to Incitement Charges,353
"Dior Sees Blue, Issey Miyake Looks to Northern Lights at Paris Shows",350
Points Shared as CSL Makes Anticlimactic Start in Empty Stadium,345
How to Use a Hearing Aid with Your Smartphone,341
"When a Harangue Is OK at the High Court, and When It's Not",339
Mourinho Says Rooney to Everton Talk Is 'Nonsense',337
Iranians Celebrate 2nd Oscars Win for Farhadi,336
"Exclusive: PSA Agrees to Buy Opel From GM, Wins Board Approval-Sources",329
Banksy Puts Mark on Bethlehem Hotel With ‘Worst View in the World’,326
Fed Vice Chair Joins Effort to Flag Pending Rate Hike,320
"A Look at the Threats, Vandalism Against Jewish Institutions",320
Authorities Release 911 Call From Multi-State Crime Rampage,312
Attorneys General Support Transgender Boy in US Court Case,304
"How to Get the Soft, Day-After Beauty from the Dior Show",301
Tenor Jonas Kaufmann Cancels at Met Opera Yet Again,296
Texas Environmentalists Sue Houston-Area Refinery Over Pollution,296
"Car Plunges Into California Aqueduct, 2 Killed and 1 Rescued",295
Impostor Scams Surpass ID Theft Among U.S. Consumer Complaints: FTC,293
Libyan Militias Seize Control of Major Oil Terminals,292
No. 9 Ohio State Overpowers Northwestern Women 99-68,289
The Latest: 2nd Man Arrested in Georgia Missing Teacher Case,284
Daily Report: Snap’s I.P.O. Went Well. Now What?,271
The Latest: Oil Industry Claims Validation in Wetlands Suit,267
"US, Tribal Officials Want Pipeline Documents Released",262
"Sanford Health, Hospital Partner on Gene Sequencing Project",260
Teen With CPR Training Saves Toddler,260
Amsterdam Artists Hold 'Nasty Woman' Show to Raise Money for Women's Rights,259
Rookie Bjork and Jamieson Share Lead in Tshwane Open,243
"Ireland to Select Bookrunners, Managers as AIB IPO Inches Closer",239
What Future and Migos Tell Us About Atlanta’s Rap Dominance,235
Trump and Big Coal,232
"Greek Police Bust Smuggling Ring, Arrest Migrants Hiding in Caves",229
Court Rules to Lift Federal Protections for Wyoming Wolves,222
Fourth Substitute Allowed for FA Cup Quarter-Finals,217
The Secret to a Really Crisp Apple,212
Chinese Investors Committed to AC Milan Deal Despite Delay,210
Ex-Haitian President Preval Dies; First to Peacefully Hand Over Power,210
Congo Police Arrest Separatist Cult Leader After Violent Standoff,208
Private Equity Firms Offer to Buy Shawbrook Bank in $1 Billion Deal,208
AP FACT CHECK: FDA Didn't Warn About Rat-Meat Chicken Wings,193
Gambia Frees Nearly 100 Prisoners From Jammeh Era,193
Remy Ma Has No Chill: Rapper Disses Nicki Minaj Again,192
BMW's UK Workers to Be Balloted for Strike Action Over Pension Changes,188
AP PHOTOS: Cuban Tobacco Farmers Celebrate a Bumper Crop,185
Hundreds Rescued in Mediterranean as Migrant Arrivals in Italy Outpace 2016,184
"Libya Naval Forces Rescue 115 Illegal Migrants, 25 Missing",183
Uber Rival Lyft Looking to Raise $500 Mln Fresh Funds: Source,173
Last Seeds Eliminated in Malaysian Open Quarterfinals,150
Fed's Powell Warns of Digital Currency's Risks,147
18-Year-Old Female College Student Falls to Death From Roof,147
Court Officer Investigated for Photographing Lawyer's Notes,141
"Arnold Schwarzenegger Opens Up About Affair, Trump Feud",138
Report: Vegas-To-Palmdale Rail to Attract 3 Million Riders,138
City Employee Busted for Makeshift Bedroom at Work,137
"U.N. Sets Agenda for Next Round of Syria Talks, Includes 'Terrorism'",134
Racial Justice at Ole Miss,134
UNC Civil Rights Law Center Told to Stop Taking New Cases,134
Germany Expects Cannabis-Growing Program to Be Going in 2019,133
Justice Department Halts Its Review of Memphis Police,133
88-Year-Old Woman Stops Rape by Claiming to Be HIV-Positive,133
UN Humanitarian Chief: US 'Very Ready to Donate' Under Trump,133
South Bronx Rent Increases Greatest in the City,132
IRA Suspect on the Run Over 2012 Killing Arraigned in Dublin,132
Judge: Miami-Dade Deportation Policy Is Unconstitutional,132
UN Official: Tribe Not Properly Heard in Pipeline Dispute,132
Governors of Mexico Write to Support Seattle 'Dreamer',132
"Orbis Discloses 2.8 Percent Stake in Arconic, Plans to Back Elliott",131
Army: Helicopter in Crash Was Practicing Evading Enemy Fire,131
"Prosecutor Seeks to Try Girl, 14, as Adult in Dad's Slaying",131
"Trump, Hitting Back, Accuses Schumer of Putin Ties",131
"Greek Police Seize Synthetic Drugs Worth Millions, Arrest 4",127
Texas Woman Who Got Prison for Voter Fraud Out on Appeal,127
"Pentagon Confirms New U.S. Strikes in Yemen, but Says No U.S. Raids",126
Woman Hopes to Marry in Dress Made of Taco Bell Wrappers,125
Brazil's Tite Calls Up Uncapped Benfica Keeper Ederson,124
Aurora Immigration Center Detainees Join Class-Action Suit,124
Colorado Man Gets 6 Months Jail Time for Swearing at Judge,123
"Bjork, Jamieson Share Lead After 2 Rounds at Tshwane Open",123
Pizza Tossing Brothers Spin Their Way to Internet Fame,121
"Yellen Says Rate Plans Based on Current Conditions, Not Possible Trump Policy",119
US Rig Count Increases 2 This Week to 756; Texas Up 6,118
Syrian Opposition Accepts U.N. Principles at End of Peace Talks,118
25 Migrants Believed Dead as Libya's Coast Guard Rescues 115,113
Tennis: Murray to Play Verdasco in Dubai Final,113
NAFTA Needs to Be Modernized: Mexican Economy Minister,111
"France's Fillon Urges Supporters to 'Resist', Turn Out in Force for Rally",108
Homes for Sale in New York and New Jersey,96
France's Le Pen Refused to Be Questioned by Judges in EU Jobs Affair: Lawyer,93
Traders Keep Bets on March Rate Hike After Yellen Remarks,92
Dutch Government Opposed to Planned Turkish Referendum Rally in Rotterdam,92
U.S. Finds China Steel Plate Imports Injure U.S. Industry,88
"U.N. Syria Talks End With Paper on 12 Principles, Delegate Says",83
Wilbur Ross on Mexican Peso,27
Backstage Portfolio: The Faces of Maison Margiela,21
On the Market in the New York Region,20
How to Read Proust in the Original,20
"Women’s Fashion Shows: Rick Owens, Chloé, Balmain",13
Christian Dior: Fall 2017,8
"The Best Movies and TV Shows New to Netflix, Hulu and More in March",0
